fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498805.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498812.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485347.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485354.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485361.1
D/bovine/Mexico/USL0010_MX/2024|Mexico|2024-02-14,PX485368.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485373.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485381.1
D/bovine/Mexico/USL0033_MX/2024|Mexico|2024-02-15,PX485387.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485394.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485401.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485408.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485415.1
D/bovine/Texas/USL173_TX/2024|USA|2024-12-17,PX485422.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485429.1
D/bovine/Texas/USL180_TX/2024|USA|2024-12-17,PX485436.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485443.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485450.1
D/bovine/Texas/USL189_TX/2024|USA|2024-12-17,PX485456.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485463.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485470.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485477.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485484.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485491.1
D/bovine/Hebei/HBSJZ1/2024|China|2024,PX313698.1
D/swine/France/150445/2015|France|2015,PP417777.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417783.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685130.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685137.1
D/bovine/CHN/JY3237/2023|China|2023-02-06,OR685148.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596312.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-20,PQ596319.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596326.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596333.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596340.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596347.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596354.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596361.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596368.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596375.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596382.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596389.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596396.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596403.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596410.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596417.1
D/swine/France/29-220655/2022|France|2022-12-21,PP133486.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126156.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126157.1
D/bovine/South_Dakota/1925152/2019|USA|2019-12-18,OR126158.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880338.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474075.1
D/bovine/China/JY3001/2021|China|2021-12-17,ON415267.1
D/bovine/France/O-EA13/2018|France|2018-02-28,ON038857.1
D/bovine/France/O-EA23D/2018|France|2018-02-28,ON038858.1
D/bovine/France/O-EB13D/2018|France|2018-02-28,ON038859.1
D/bovine/France/O-EB14D/2018|France|2018-02-28,ON038860.1
D/bovine/France/O-EB18D/2018|France|2018-02-28,ON038861.1
D/bovine/France/O-EB19/2018|France|2018-02-28,ON038862.1
D/bovine/France/O-EB20/2018|France|2018-02-28,ON038863.1
D/bovine/France/O-EB20D/2018|France|2018-02-28,ON038864.1
D/bovine/France/O-EB21D/2018|France|2018-02-28,ON038865.1
D/bovine/France/O-EB22D/2018|France|2018-02-28,ON038866.1
D/bovine/France/O-EB23D/2018|France|2018-02-28,ON038867.1
D/bovine/France/O-EB24D/2018|France|2018-02-28,ON038868.1
D/bovine/France/O-EB31/2018|France|2018-02-28,ON038869.1
D/bovine/France/O-EB32/2018|France|2018-02-28,ON038870.1
D/bovine/France/O-EB33/2018|France|2018-02-28,ON038871.1
D/bovine/France/O-EB37D/2018|France|2018-02-28,ON038873.1
D/bovine/France/O-EB38D/2018|France|2018-02-28,ON038874.1
D/bovine/France/O-EB39D/2018|France|2018-02-28,ON038875.1
D/bovine/France/O-EB45D/2018|France|2018-02-28,ON038876.1
D/bovine/France/O-EB8D/2018|France|2018-02-28,ON038877.1
D/bovine/France/O-EB34/2018|France|2018-02-28,ON038872.1
D/bovine/France/CO-E2256.01/2018|France|2018,ON038927.1
D/bovine/CHN/JLSL/2021|China|2021-12-06,OM763678.1
D/bovine/Denmark/5246407608-2/2019|Denmark|2019-03-01,OM468253.1
D/bovine/Denmark/3313408142-6/2020|Denmark|2020-01-08,OM468264.1
D/bovine/Denmark/1173303525-4/2019|Denmark|2019-04-05,OM468254.1
D/bovine/Denmark/5358904609-3/2019|Denmark|2019-03-12,OM468259.1
D/bovine/Denmark/6171103755-1/2019|Denmark|2019-02-06,OM468260.1
D/bovine/Denmark/5195604790-5/2019|Denmark|2019-02-20,OM468261.1
D/bovine/Denmark/5224403563-5/2019|Denmark|2019-04-24,OM468262.1
D/bovine/Denmark/3058506689-11/2019|Denmark|2019-10-09,OM468263.1
D/bovine/Denmark/5022903340-5/2019|Denmark|2019-01-15,OM468256.1
D/bovine/Denmark/5161205135-5/2019|Denmark|2019-01-15,OM468257.1
D/bovine/Denmark/5195604714-5/2019|Denmark|2019-01-15,OM468255.1
D/bovine/Denmark/4559602762-5/2019|Denmark|2019-01-15,OM468258.1
D/bovine/Denmark/3727003200-7/2020|Denmark|2020-03-12,OM468252.1
D/bovine/Denmark/5256205576-8/2020|Denmark|2020-03-06,OM468249.1
D/bovine/Denmark/1052304114-10/2020|Denmark|2020-01-16,OM468250.1
D/bovine/Denmark/5995505714-9/2020|Denmark|2020-02-11,OM468251.1
D/bovine/Namibia/255880/2020|Namibia|2020-11-10,OK513026.1
D/bovine/Italy/287448/2015|Italy|2015-10,MZ264975.1
D/bovine/California/0363/2019|USA|2019,MW020309.1
D/bovine/California/0894/2019|USA|2019,MW020316.1
D/bovine/California/1908/2019|USA|2019,MW020323.1
D/bovine/Michigan/0377/2019|USA|2019-02-01,MW632175.1
D/bovine/California/1490/2018|USA|2018-11-01,MW632182.1
D/bovine/Oklahoma/1544/2018|USA|2018-11-01,MW632189.1
D/bovine/Hokkaido/HKD1/2018|Japan|2018-11,LC565479.1
D/bovine/Hokkaido/HKD2/2019|Japan|2019-01,LC565480.1
D/bovine/Hokkaido/HKD3/2020|Japan|2020-01,LC565481.1
D/bovine/Utah/9/2019|USA|2019-01-09,MW079465.1
D/bovine/California/17/2019|USA|2019-01-16,MW079466.1
D/bovine/Kansas/25/2019|USA|2019-04-16,MW079467.1
D/bovine/Kansas/26/2019|USA|2019-04-16,MW079468.1
D/bovine/Kansas/27/2019|USA|2019-04-16,MW079469.1
D/bovine/Kansas/33/2019|USA|2019-08-20,MW079471.1
D/bovine/Texas/72/2017|USA|2017,MT636474.1
D/bovine/Italy/17VIR1851/2016|Italy|2016-10-26,MK965279.1
D/bovine/Italy/16RS2359/2016|Italy|2016-12-16,MK965292.1
D/bovine/Italy/16RS2581-9/2016|Italy|2016-12-29,MK965293.1
D/bovine/Italy/17RS393-6/2017|Italy|2017-02-17,MK965294.1
D/bovine/Italy/17RS395-6/2017|Italy|2017-02-08,MK965295.1
D/bovine/Italy/17RS396-10/2017|Italy|2017-02-08,MK965296.1
D/bovine/Italy/17RS397-3/2017|Italy|2017-02-06,MK965297.1
D/bovine/Italy/18RS182-1/2017|Italy|2017-03-17,MK965284.1
D/bovine/Italy/18RS182-10/2017|Italy|2017-10-10,MK965280.1
D/bovine/Italy/18RS182-12/2017|Italy|2017-12-01,MK965281.1
D/bovine/Italy/18RS182-13/2017|Italy|2017-12-19,MK965282.1
D/bovine/Italy/18RS182-14/2017|Italy|2017-12-18,MK965283.1
D/bovine/Italy/18RS182-16/2018|Italy|2018-01-19,MK965289.1
D/bovine/Italy/18RS182-17/2018|Italy|2018-01-19,MK965290.1
D/bovine/Italy/18RS182-18/2018|Italy|2018-01-19,MK965291.1
D/bovine/Italy/18RS182-3/2017|Italy|2017-03-20,MK965285.1
D/bovine/Italy/18RS182-4/2017|Italy|2017-04-03,MK965286.1
D/bovine/Italy/18RS182-6/2017|Italy|2017-04-12,MK965287.1
D/bovine/Italy/18RS182-8/2017|Italy|2017-08-22,MK965288.1
D/bovine/Italy/15RS1509-14/2015|Italy|2015-09-10,MK965298.1
D/swine/Italy/18VIR6833/2015|Italy|2015,MK965299.1
D/bovine/Quebec/5E-H/2018|Canada|2018,MT246268.1
D/bovine/Quebec/1M-H/2019|Canada|2019,MT246275.1
D/bovine/Quebec/4Q-J20/2020|Canada|2020-01,MT246295.1
D/swine/Italy/73601-3/2017|Italy|2017-03,MK131027.1
D/bovine/Italy/31525/2018|Italy|2018-01,MK131031.1
D/bovine/Yamagata/1/2019|Japan|2019-01-07,LC494109.1
D/bovine/Italy/28145/2019|Italy|2019-01,MN123955.1
D/bovine/Italy/28300/2019|Italy|2019-01,MN123865.1
D/bovine/Italy/30787/2017|Italy|2017-02,MN123871.1
D/bovine/Italy/35490/2019|Italy|2019-01,MN123879.1
D/bovine/Italy/38955/2019|Italy|2019-01,MN123886.1
D/bovine/Italy/45097/2019|Italy|2019-02,MN123893.1
D/bovine/Italy/72875/2019|Italy|2019-02,MN123900.1
D/bovine/Italy/78668/2019|Italy|2019-03,MN123907.1
D/bovine/Italy/345075/2018|Italy|2018-04,MN123914.1
D/bovine/Italy/3907772/2018|Italy|2018-12,MN123921.1
D/bovine/Italy/407865/2018|Italy|2018-12,MN123928.1
D/bovine/Italy/56649-11/2018|Italy|2018-02,MN123935.1
D/bovine/Italy/776951/2018|Italy|2018-03,MN123942.1
D/swine/Italy/218655/2017|Italy|2017-08,MN123949.1
D/bovine/Italy/72637/2019|Italy|2019-02,MN165180.1
D/bovine/Italy/59542/2018|Italy|2018-03,MN165187.1
D/bovine/Italy/50543-3/2018|Italy|2018-02,MN165194.1
D/bovine/Italy/4128547/2018|Italy|2018-02,MN165201.1
D/bovine/Italy/40574/2018|Italy|2018-01,MN165208.1
D/bovine/Italy/37760/2019|Italy|2019-01,MN165215.1
D/bovine/Italy/3525/2018|Italy|2018-01,MN165222.1
D/bovine/Italy/20749/2018|Italy|2018-01,MN165229.1
D/bovine/Italy/14429/2018|Italy|2018-01,MN165236.1
D/bovine/Italy/12545-8/2018|Italy|2018-01,MN165242.1
D/bovine/Italy/12002-1/2018|Italy|2018-01,MN165249.1
D/bovine/Italy/108524/2018|Italy|2018-04,MN165256.1
D/bovine/Italy/19RS176-11/2018|Italy|2018-03-29,MN173612.1
D/bovine/France/5920/2014|France|2014-02-18,MG720237.1
D/bovine/Northern_Ireland/24280/2017|United_Kingdom|2017-12-01,MK101122.1
D/swine/Kentucky/17TOSU1262/2017|USA|2017-11-01,MK054178.1
D/swine/Oklahoma/1334/2011|USA|2011-03-21,NC_036617.1
D/bovine/Yamagata/10710/2016|Japan|2016-03,LC318669.1
D/swine/Italy/268344-2/2015|Italy|2015-10,KX768821.1
D/swine/Italy/173287-4/2016|Italy|2016-05,KX768828.1
D/swine/Italy/254578/2015|Italy|2015-09,KX768835.1
D/swine/Italy/354017/2015|Italy|2015-12,KX768842.1
D/bovine/Miyazaki/B22/2016|Japan|2016-04-13,LC270269.1
D/bovine/Ibaraki/7768/2016|Japan|2016-02-04,LC128435.1
D/bovine/Mexico/S7/2015|Mexico|2015,KU710418.1
D/bovine/Mexico/S8/2015|Mexico|2015,KU710419.1
D/bovine/Mexico/S56/2015|Mexico|2015,KU710420.1
D/bovine/Mexico/S62/2015|Mexico|2015,KU710421.1
D/bovine/Italy/1/2014|Italy|2014-11,KT592518.1
D/bovine/Italy/46484/2015|Italy|2015,KT592527.1
D/swine/Italy/199724-3/2015|Italy|2015,KT592534.1
D/bovine/Mississippi/C00046N/2014|USA|2014-02-19,KT581413.1
D/bovine/Mississippi/C00013N/2014|USA|2014-02-07,MT511509.1
D/bovine/Mississippi/C00014N/2014|USA|2014-02-07,MT511447.1
D/bovine/Mississippi/C00030P/2014|USA|2014-02-19,MT511371.1
D/bovine/Shandong/Y125/2014|China|2014-04-02,KM015495.1
D/bovine/Shandong/Y127/2014|China|2014-04-02,KM015502.1
D/bovine/Shandong/Y217/2014|China|2014-04-02,KM015509.1
D/bovine/Kansas/1-35/2010|USA|2010-12-10,KM392479.1
D/bovine/Texas/3-13/2011|USA|2011-06-01,KM392486.1
D/bovine/Kansas/13-21/2012|USA|2012-10-17,KM392493.1
D/bovine/Kansas/14-22/2012|USA|2012-12-01,KM392500.1
D/bovine/Kansas/11-8/2012|USA|2012-04-19,KM392507.1
D/bovine/Minnesota/628/2013|USA|2013-02-18,KF425656.1
D/bovine/Oklahoma/660/2013|USA|2013-02-20,KF425663.1
D/bovine/Minnesota/729/2013|USA|2013-02-26,KF425670.1
D/swine/Northern_Ireland/2156-02/2023|United_Kingdom|2023-01-24,PQ776849.1
D/swine/Northern_Ireland/2156-07/2023|United_Kingdom|2023-01-24,PQ776850.1
D/swine/Northern_Ireland/2170-22/2023|United_Kingdom|2023-02-24,PQ776851.1
D/swine/Northern_Ireland/2170-23/2023|United_Kingdom|2023-02-24,PQ776852.1
D/swine/Northern_Ireland/2155-15/2023|United_Kingdom|2023-01-13,PQ776855.1
D/swine/Northern_Ireland/2155-27/2023|United_Kingdom|2023-01-13,PQ776856.1
D/swine/Northern_Ireland/2163-09/2023|United_Kingdom|2023-01-31,PQ776853.1
D/swine/Northern_Ireland/2163-17/2023|United_Kingdom|2023-01-31,PQ776854.1
D/swine/Northern_Ireland/2160-28/2023|United_Kingdom|2023-01-25,PQ776857.1
D/swine/Northern_Ireland/2179-26/2023|United_Kingdom|2023-04-17,PQ776860.1
D/swine/Northern_Ireland/2179-28/2023|United_Kingdom|2023-04-17,PQ776861.1
D/swine/Northern_Ireland/2168-27/2023|United_Kingdom|2023-02-07,PQ776858.1
D/swine/Northern_Ireland/2168-29/2023|United_Kingdom|2023-02-07,PQ776859.1
IDV_NSW_L9|Australia|2019-04,OP020137.1
D/bovine/Italy/94269-2/2019|Italy|2019-03,MT349515.1
D/bovine/Italy/94269-1/2019|Italy|2019-03,MT349522.1
D/bovine/Italy/94243/2019|Italy|2019-03,MT349529.1
D/bovine/Italy/60797/2017|Italy|2017-03,MT349535.1
D/bovine/Italy/37431/2018|Italy|2018-02,MT349541.1
D/bovine/Italy/358240/2017|Italy|2017-12,MT349551.1
D/bovine/Italy/344278/2017|Italy|2017-12,MT349563.1
D/bovine/Italy/300771/2017|Italy|2017-11,MT349577.1
D/bovine/Italy/188812-1/2017|Italy|2017-07,MT349584.1
D/bovine/Italy/17936/2017|Italy|2017-01,MT349591.1
D/bovine/Italy/174489/2019|Italy|2019-05,MT349598.1
D/bovine/Italy/144539/2019|Italy|2019-04,MT349605.1
D/bovine/Italy/144136/2018|Italy|2018-05,MT349612.1
D/bovine/Italy/13882-2/2017|Italy|2017-01,MT349619.1
D/bovine/Italy/131159/2017|Italy|2017-05,MT349626.1
D/bovine/Italy/123836/2017|Italy|2017-05,MT349640.1
D/bovine/Italy/122566-2/2019|Italy|2019-04,MT349646.1
D/bovine/Italy/117140/2019|Italy|2019-04,MT349653.1
D/bovine/Mississippi/C00037P/2014|USA|2014-02-19,MT511337.1
D/bovine/Mississippi/C00075N/2014|USA|2014-04-02,MT511344.1
D/bovine/Mississippi/C00013P/2014|USA|2014-02-07,MT511351.1
D/bovine/Mississippi/C00180N/2015|USA|2015-07-24,MT511358.1
D/bovine/Mississippi/C00135N/2014|USA|2014-05-23,MT511365.1
D/bovine/Mississippi/C00196N/2015|USA|2015-07-24,MT511378.1
D/bovine/Mississippi/C00017N/2014|USA|2014-02-07,MT511385.1
D/bovine/Mississippi/C00040P/2014|USA|2014-02-19,MT511392.1
D/bovine/Mississippi/C00200N/2015|USA|2015-07-24,MT511399.1
D/bovine/Mississippi/C00185N/2015|USA|2015-07-24,MT511406.1
D/bovine/Mississippi/C00007N/2014|USA|2014-02-07,MT511413.1
D/bovine/Mississippi/C00002N/2014|USA|2014-02-07,MT511420.1
D/bovine/Mississippi/C00004N/2014|USA|2014-02-19,MT511427.1
D/bovine/Mississippi/C00213N/2015|USA|2015-07-24,MT511434.1
D/bovine/Mississippi/C00199N/2015|USA|2015-07-24,MT511441.1
D/bovine/Mississippi/C00158N/2015|USA|2015-01-09,MT511454.1
D/bovine/Mississippi/C00020N/2014|USA|2014-02-07,MT511461.1
D/bovine/Mississippi/C00218N/2015|USA|2015-07-24,MT511468.1
D/bovine/Mississippi/C00165P/2015|USA|2015-01-17,MT511475.1
D/bovine/Mississippi/C00067N/2014|USA|2014-04-02,MT511482.1
D/bovine/Mississippi/C00148N/2014|USA|2014-01-09,MT511489.1
D/bovine/Mississippi/C00162N/2015|USA|2015-01-09,MT511496.1
D/bovine/Mississippi/C00186N/2015|USA|2015-07-24,MT511503.1
D/bovine/Mississippi/C00207N/2015|USA|2015-07-24,MT511516.1
D/bovine/Mississippi/C00158P/2015|USA|2015-01-09,MT511523.1
D/bovine/Mississippi/C00009P/2014|USA|2014-02-07,MT511530.1
D/bovine/Mississippi/C00165N/2015|USA|2015-01-17,MT511537.1
D/bovine/Mississippi/C00214N/2015|USA|2015-07-24,MT511544.1
